Profile_ID,NPI,First_Name,Middle_Name,Last_Name,Program_Year,Total_Amount_Invested_USDollars,Value_of_Interest,Terms_of_Interest,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Category,Indicate_Drug_or_Biological_or_Device_or_Medical_Supply_1,Product_Category_or_Therapeutic_Area_1,Name_of_Drug_or_Biological_or_Device_or_Medical_Supply_1,Total_Amount_of_Payment_USDollars,Form_of_Payment_or_Transfer_of_Value,Name_of_Study,Nature_of_Payment_or_Transfer_of_Value,Product_Indicator,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Device_or_Medical_Supply1,Contributed_Articles
43958,1972705663,JAIMIE,TROYAL,SHORES,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,2000.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 10"
65225,1447338959,WOJCIECH,HENRYK,PRZYLECKI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,9851.25,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,5
65225,1447338959,WOJCIECH,HENRYK,PRZYLECKI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,1695.75,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,5
65225,1447338959,WOJCIECH,HENRYK,PRZYLECKI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,9680.25,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,5
92715,1053428854,LEON,J,NESTI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,4020.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 10"
109070,1417108374,JASON,A,NYDICK,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,11840.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"1, 3, 5, 6"
109070,1417108374,JASON,A.,NYDICK,2020,,,,"DJO, LLC",RSRCH,,,,10446.09,Cash or cash equivalent,Nydick DJO-18-006,,,,,"1, 3, 5, 6"
109070,1417108374,JASON,A,NYDICK,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,11040.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"1, 3, 5, 6"
109070,1417108374,JASON,A,NYDICK,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,2500.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"1, 3, 5, 6"
109070,1417108374,JASON,A,NYDICK,2020,,,,AXOGEN,RSRCH,,,AVIVE SOFT TISSUE MEMBRANE,1239.0,Cash or cash equivalent,Registry of Avive Soft Tissue Membrane Utilization in Selected Applications of Acute Trauma of the Upper Extremity (ASSIST),,,,,"1, 3, 5, 6"
109070,1417108374,JASON,A,NYDICK,2020,,,,AXOGEN,RSRCH,,,AVIVE SOFT TISSUE MEMBRANE,2410.0,Cash or cash equivalent,Registry of Avive Soft Tissue Membrane Utilization in Selected Applications of Acute Trauma of the Upper Extremity (ASSIST),,,,,"1, 3, 5, 6"
109070,1417108374,JASON,A,NYDICK,2020,,,,AXOGEN,RSRCH,,,AVIVE SOFT TISSUE MEMBRANE,2600.0,Cash or cash equivalent,Registry of Avive Soft Tissue Membrane Utilization in Selected Applications of Acute Trauma of the Upper Extremity (ASSIST),,,,,"1, 3, 5, 6"
109070,1417108374,JASON,A,NYDICK,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,12940.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"1, 3, 5, 6"
109070,1417108374,JASON,A,NYDICK,2020,,,,AXOGEN,RSRCH,,,AVIVE SOFT TISSUE MEMBRANE,1300.0,Cash or cash equivalent,Registry of Avive Soft Tissue Membrane Utilization in Selected Applications of Acute Trauma of the Upper Extremity (ASSIST),,,,,"1, 3, 5, 6"
109070,1417108374,JASON,A,NYDICK,2020,,,,AXOGEN,RSRCH,,,AVIVE SOFT TISSUE MEMBRANE,1144.0,Cash or cash equivalent,Registry of Avive Soft Tissue Membrane Utilization in Selected Applications of Acute Trauma of the Upper Extremity (ASSIST),,,,,"1, 3, 5, 6"
109070,1417108374,JASON,A,NYDICK,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,1239.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"1, 3, 5, 6"
109070,1417108374,JASON,A,NYDICK,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,1632.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"1, 3, 5, 6"
112106,1477714665,NIRAV,HASMUKH,AMIN,2020,,,,"Smith+Nephew, Inc.",RSRCH,Device,Recon Knees,JOURNEY II XR,500.0,Cash or cash equivalent,"A Prospective Multicenter, Post-Market Clinical Follow-Up Study to Evaluate the Safety and Effectiveness of the Journey II XR Total Knee System",,,,,22
118756,1619199098,DAVID,,MEGEE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,455.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,5
118756,1619199098,DAVID,,MEGEE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,1667.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,5
118756,1619199098,DAVID,,MEGEE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,1653.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,5
154057,1396736633,GREGORY,MILLETTE,BUNCKE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,12040.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"3, 5, 6, 10, 14, 17, 18, 25, 26"
154057,1396736633,GREGORY,MILLETTE,BUNCKE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,130.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"3, 5, 6, 10, 14, 17, 18, 25, 26"
154057,1396736633,GREGORY,MILLETTE,BUNCKE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,10490.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"3, 5, 6, 10, 14, 17, 18, 25, 26"
154057,1396736633,GREGORY,MILLETTE,BUNCKE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,1239.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"3, 5, 6, 10, 14, 17, 18, 25, 26"
217660,1790855815,RENATA,V,WEBER,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,422.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 10, 14, 25, 26"
217660,1790855815,RENATA,V,WEBER,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,1239.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 10, 14, 25, 26"
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,619.2,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,619.29,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,619.2,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,910.0,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,910.0,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,910.0,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,619.2,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,735.52,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,735.52,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,735.52,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,619.2,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,3408.6,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,3408.6,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,3408.6,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,3408.6,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,735.52,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,3408.6,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,735.52,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,735.52,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,735.52,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,3408.6,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,3408.6,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,619.2,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,3408.6,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,619.2,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
339222,1477517183,RISAL,S,DJOHAN,2020,,,,Mentor Worldwide LLC,RSRCH,Device,Plastic Surgery,MemoryGel Breast Implants,735.52,Cash or cash equivalent,A Study of the Safety and Effectiveness of the Mentor Larger Size MemoryGel Ultra High Profile Breast Implants in Subjects Who Are Undergoing Primary Breast Reconstruction or Revision Reconstruction,,,,,7
598887,1265503619,DENNIS,S.,KAO,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,508.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 6"
598887,1265503619,DENNIS,S.,KAO,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,4407.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 6"
598887,1265503619,DENNIS,S.,KAO,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,444.5,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 6"
598887,1265503619,DENNIS,S.,KAO,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,825.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 6"
598887,1265503619,DENNIS,S.,KAO,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,698.5,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 6"
695989,1679502165,GREGORY,ALAN,MERRELL,2020,,,,AXOGEN,RSRCH,,,AVIVE SOFT TISSUE MEMBRANE,6275.0,Cash or cash equivalent,Registry of Avive Soft Tissue Membrane Utilization in Selected Applications of Acute Trauma of the Upper Extremity (ASSIST),,,,,"1, 15"
695989,1679502165,GREGORY,ALAN,MERRELL,2020,,,,AXOGEN,RSRCH,,,AVIVE SOFT TISSUE MEMBRANE,7625.0,Cash or cash equivalent,Registry of Avive Soft Tissue Membrane Utilization in Selected Applications of Acute Trauma of the Upper Extremity (ASSIST),,,,,"1, 15"
695989,1679502165,GREGORY,ALAN,MERRELL,2020,,,,AXOGEN,RSRCH,,,AVIVE SOFT TISSUE MEMBRANE,1239.0,Cash or cash equivalent,Registry of Avive Soft Tissue Membrane Utilization in Selected Applications of Acute Trauma of the Upper Extremity (ASSIST),,,,,"1, 15"
742121,1316156284,DESIRAE,M,MCKEE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,6974.35,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 6"
742121,1316156284,DESIRAE,M,MCKEE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,429.1,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 6"
742121,1316156284,DESIRAE,M,MCKEE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,3000.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 6"
742121,1316156284,DESIRAE,M,MCKEE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,3194.05,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 6"
742121,1316156284,DESIRAE,M,MCKEE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,2000.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"5, 6"
946984,1508805912,FRASER,J,LEVERSEDGE,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,2500.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"3, 5, 6, 8, 14"
987934,1922398866,SAMI,,TUFFAHA,2020,,,,Theratechnologies Inc.,RSRCH,Drug,HIV,EGRIFTA,12051.62,In-kind items and services,"Tesamorelin Therapy to Enhance Axonal Regeneration, Minimize Muscle Atrophy, and Improve Functional Outcomes following Peripheral Nerve Injury",,,,,11
987934,1922398866,SAMI,,TUFFAHA,2020,,,,Theratechnologies Inc.,RSRCH,Drug,HIV,EGRIFTA,9302.82,In-kind items and services,"Tesamorelin Therapy to Enhance Axonal Regeneration, Minimize Muscle Atrophy, and Improve Functional Outcomes following Peripheral Nerve Injury",,,,,11
995506,1194997015,SONU,ABHISHEK,JAIN,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,2427.3,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"3, 5"
995506,1194997015,SONU,ABHISHEK,JAIN,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,606.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"3, 5"
995506,1194997015,SONU,ABHISHEK,JAIN,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,1653.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"3, 5"
995506,1194997015,SONU,ABHISHEK,JAIN,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,130.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"3, 5"
1333714,1962644658,MIHIR,,DESAI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,3550.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,5
1333714,1962644658,MIHIR,,DESAI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,5633.88,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,5
1333714,1962644658,MIHIR,,DESAI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,34469.23,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,5
1393401,1760771372,JOSEPH,FRANK,STYRON,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,4250.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,"3, 5"
1395316,1457515645,ARASH,,MOMENI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,894.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,2
1395316,1457515645,ARASH,,MOMENI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,1672.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,2
1395316,1457515645,ARASH,,MOMENI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,2521.6,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,2
1395316,1457515645,ARASH,,MOMENI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,20300.8,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,2
1395316,1457515645,ARASH,,MOMENI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,332.8,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,2
1395316,1457515645,ARASH,,MOMENI,2020,,,,AXOGEN,RSRCH,,,AVANCE NERVE GRAFT,894.0,Cash or cash equivalent,Registry of Avance Nerve Graft's Utilization and Recovery Outcomes Post Peripheral Nerve Reconstruction (RANGER),,,,,2
